Test ID,Section,Test Case Name,Steps,Expected Result ,Actual Result,Priority,Status
1,Logo,Verify logo Visibility,"1. Open the website.
2. Observe the logo at the top.",The logo should be visible and correctly displayed.,The logo is displayed with correct size and quality.,Medium,Pass
2,Logo,Verify logo click functionality,"1. Open the website.
2. Click on the logo",Clicking the logo should redirect the user to Home page,Clicking the logo  redirect the user to Home page,Medium,Pass
3,Nav,Verify Home Button Click Functionality,"1. Open the website.
2. Click on Home button",Clicking the Home button should redirect the user to Home page,Clicking the Home button successfully redirected the user to the homepage.,Medium,Pass
,Nav,Verify Sign in Button Click Functionality,"1. Open the website.
2. Click on Sign in button",Clicking the Sign in button should redirect the user to Sign in page,Clicking the Sign in button successfully redirected the user to the Sign in.,Medium,Pass
,Nav,Verify Contact Button Click Functionality,"1. Open the website.
2. Click on Contact button",Clicking the Contact button should redirect the user to Contact page,Clicking the Contact button successfully redirected the user to the Contact.,Medium,Pass
4,Nav,Verify Category Drop down Expanded Functionality,"1. Open the website.
2. Click on Category Drop down","The Drop down should expand and display the options (Hand Tools, Power Tools, other, Special Tools, rentals)",the drop down expanded and display the options,High,Pass
5,Nav,Verify Category Drop down Collapse  Functionality,"1. Open the website.
2. Click on Category Drop down",The Drop down should Collapse ,the drop down Collapse  ,High,Pass
6,Nav,"Verify ""Hand Tools"" Option Click Functionality","1. Open the website.
2. Click on Category Drop down
3. Click on the ""Hand Tools"" option.","The product listing page filters to display only products categorized as ""Hand Tools.""","The product listing page correctly filtered and displayed only products categorized as ""Hand Tools.""",High,Pass
7,Nav,"Verify ""Power Tools"" Option Click Functionality","1. Open the website.
2. Click on Category Drop down
3. Click on the ""Power Tools"" option.","The product listing page filters to display only products categorized as ""Power Tools.""","The product listing page correctly filtered and displayed only products categorized as ""Power Tools""",High,Pass
8,Nav,"Verify ""Other"" Option Click Functionality","1. Open the website.
2. Click on Category Drop down
3. Click on the ""Other"" option.","The product listing page filters to display only products categorized as ""Other""","The product listing page correctly filtered and displayed only products categorized as ""Other""",High,Pass
